artist_name,track_name,release_date,genre,lyrics
the platters,don't blame me,1958,pop,blame fall spell help blame things conceal thrill feel blame help doggoned moon make need like blame kiss sweet kiss blame charm melt arm blame
perry como,between the devil and the deep blue sea,1958,pop,want hate lose devil deep blue forgive cause forget devil deep blue ought cross list come knockin door fate heart twist runnin hate guess devil deep blue instrumental bridge devil deep blue instrumental bridge devil deep blue ought cross list come knockin door fate heart twist runnin hate guess devil deep blue devil deep blue deep blue revue rhythmmania
perry como,in the garden,1958,pop,come garden roses voice hear fall disclose walk talk tell share tarry know speak sound voice sweet bird hush sing give heart ring walk talk tell share tarry know share tarry know
perry como,he's got the whole world in his hands,1958,pop,world hand wide world hand world hand world hand little tiny baby hand little tiny baby hand little tiny baby hand world hand brother hand sister hand brother hand world hand everybody hand everybody hand everybody hand world hand world hand world hand world hand world hand
perry como,birth of the blues,1958,pop,people long searchin diff rent tune croon rhythm start swayin know blue begin hear breeze tree singin weird melodies start blue jail come wail downhearted frail play blue whippoorwill take note whippoorwill whippoorwill whippoorwill push horn till wear blue note whippoorwill whippoorwill whippoorwill nurse rehearse give news southland give birth blue shout wonderful news breeze tree wail jail buzz cousin nightin southland hello hello give birth blue music
johnny mathis,where can i go?,1958,pop,simply touch sacred divine hold kiss strong turn strongest tide sigh wild inside want darling want darling tooo
張露,夢斷巫山,1958,pop,remember remember thumb yeah baby time come baby free girl baby free girl remember boss remember touch butt remember count bless yeah mouth shut yeah right sugar dazzle dazzle moon victim longer slave longer crawl longer suffer longer stall live reason go walk table longer
張露,你去了那裡,1958,pop,right outside lazy summer home time soul critic right outside lazy gate winter summer home wonder nutthatch winter wing mile long carry away eye world heart beach homeland thoughts discover song morning bring heart season even songs come redeemer slowly fade away follow wagon load seed silent burst bloom decay night come quiet close heel eye world heart beach homeland thoughts discover song morning bring heart season even songs live particular visit country live home ride horse walk songs hear songs eye world heart beach homeland thoughts discover song morning bring heart season even songs
frankie laine,mona lisa,1958,pop,name like lady mystic smile cause lonely blame strangeness smile smile tempt lover hide break heart dream bring doorstep warm real cold lonely lovely work smile tempt lover hide break heart dream bring doorstep warm real cold lonely lovely work
a. m. rajah,inbamae pongumae,1958,pop,stand doubt know true tear understand state feel bless hold hand room heart unlock door open world away home life think eye search arm kiss wait lose word heart close beauty live know walk lonely watch lovers come fate find salvation soul
t. m. soundararajan,enna vendum,1958,pop,girl friend swag sauce drip swagu girl friends swag sauce drip swagu young ready tell girls slow away tell tomorrow tonight speakers knock morning light cause like party cause like party cause like party touch drive crazy explain feel radio night belong hold close care care talk tomorrow cause tonight night ohohohoh music knock morning light cause like party scene degrees worry fuck niggas worry homeboy name butter homeboy nigga name cheese fuck baby milk till drip knees spit shit reallo brain brillo kiddo look make feel think hero food court eat gyros yesterday single morning pray grandmom forget mean study beat talk girl fuck pshh cause remember nute fell black like have cousin blue like rent cream like love yeah away tell tomorrow cause tonight night ohohohoh music knock morning light cause like party cause like party cause like party girl friend swag sauce drip swagu girl friends swag sauce drip swagu
